Summary Label,Avg Generation Cnt,Trimmed Generation Cnt,Avg Elapsed Time (milliseconds),Trimmed Elapsed Time (milliseconds),Population Size,Tournament Size,Max Generations,Initial Tree Height,Max Tree Height,Mutation Tree Height,Initial Generation Method,Reproduction Method,Input Training Data,Final Fitness Goal,Crossover Probability,Reproduction Probability,Mutation Probability
100,57.72,7.2625,3059.89,221.4625,900,10,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,10.83,10.425,281.89,268.175,1000,4,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,8.31,7.8625,236.05,221.15,1000,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,23.21,7.825,1034.24,245.9125,1000,8,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,12.41,7.65,526.18,263.0125,1000,10,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,198.82,53.1375,205.56,88.5375,100,4,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,2561.2,867.225,3286.1,1363.4,100,6,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,8447.3,5520.4,11245.07,7858.825,100,8,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,7131.69,4683.2,11820.57,7657.45,100,10,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,88.57,16.7625,201.9,60.1375,200,4,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
