Generation,Elapsed Time (milliseconds),Elapsed Time (mm:ss.mili),Population Size,Tournament Size,Max Generations,Initial Tree Height,Max Tree Height,Mutation Tree Height,Initial Generation Method,Reproduction Method,Input Training Data,Final Fitness Goal,Crossover Probability,Reproduction Probability,Mutation Probability,Final Fitness,Final Height,Final isValid,First Fitness,First Height,First isValid,Final Tree,First Tree
74,326," 00:00.326 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,10,true,2.2404457143E10,4,true,((((x+4)+(-9+5))-((-6/8)*-9))*((x+7)/(0--1)))-((((x+(-6+(-1*3)))+(((((x+3)+(1+-9))-(((-9+-9)+(-6*3))*(-6+(-1*3))))+((((-6/-9)/-9)/-9)/((-1/-9)/-9)))+(-9+(-6+0))))+(((-6/-9)+(-6*3))--9))/((-9+7)*(-4*(2+(((2+6)+((-9+-5)-3))/9))))),(((6--8)-(-2/-1))+((-2--3)*(-2*-3)))-(((-8*-7)*(-2/-8))*((4*6)*(-2-x)))
14,33," 00:00.33 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,5,true,2.2182403069199997E10,4,true,(((x+-2)+((-3+x)+(-6/-3)))+((x-x)*4))+(((x+4)+-5)*((-3+x)+(-6/-3))),(((-4-8)-(3/5))-((5+-8)-(x*9)))*(((3--8)+(8+4))*((1+9)+(1-4)))
299,1208," 00:01.208 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,3.922963514924049E-6,9,true,2.2159856478325546E10,4,true,((((x/8)/(9/x))-((7+-6)-(7+-6)))/(6*-5))*(((5*((7+-4)-(-6/-6)))*(-6/(7+-6)))*(((1-((7+-6)+(((9/x)/-6)/(x/8))))*(-6/(7+(-6/1))))+(-1*(9*-4)))),(((x/8)/(9/x))+((-3/x)+(3*2)))+(((3+-8)*(-2+5))+((7+-4)-(-7/-6)))
28,88," 00:00.88 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,3.814697266513178E-6,10,true,1.0125343999997726E7,4,true,(((-9+-1)*(2-3))+(x+(0+-9)))*(7-((-9/(-9*(((-9+(2-3))*(2-3))+((x+((-6/-2)-3))+(((-6/-2)-3)+-9)))))-(-8+x))),(((-7+-1)*(2-3))+((x+-1)+(0+-9)))*(((2--9)+(-6*-8))-((-7/5)-(-8+x)))
6,16," 00:00.16 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,4,true,290.0,4,true,(((-3--1)+(x*x))+((-7+7)-(8-8)))-((-7+7)-(8-8)),(((-8*7)+(x*x))+((-7+7)-(8--5)))-(((2*2)*(-2*1))-((-8+3)*(-8+2)))
10,26," 00:00.26 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,2.9802322387695312E-8,6,true,2.143179555532986E10,4,true,(((8-(-1*(7--1)))/8)+((x/7)*(x*-7)))/-1,(((7*-8)*(-5*x))*((4-0)+(7--8)))+(((1/-4)+(-6*2))/((-1*6)*(6*-4)))
602,2783," 00:02.783 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,6.160195117617118E-4,10,true,1.42643241025E10,4,true,(((((4*x)+((4*x)/((x*5)+(((5/-4)*4)/(x+-4)))))+((((-4/(x+-1))+x)/((5*-4)-3))/(-4+-4)))-(((5/-4)*(x+-1))*3))/((((x+-1)+x)*-4)-((5/-4)*(x+-1))))+(((5/-1)/((-6*-1)-(-1/(-4+-4))))+(((5/-4)*(4*x))/((-4+-1)/x))),(((-3+4)-(1*-9))+((9*-6)*(-6*4)))*(((4*-7)-(4/x))*((5/-4)*(4*x)))
17,48," 00:00.48 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,1.1102230246251565E-16,3,true,2.22166828875E10,4,true,((x*x)+(5/-3))+((5/-3)/(-3--8)),(((-7*-9)*(9*-9))/((2+-6)/(x-6)))-(((8+x)*(6/-9))*((5-8)/(-7+-1)))
36,105," 00:00.105 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,6.237899715385575E-4,9,true,1.34802068442E10,4,true,((2/x)-x)/(-2/((2/5)*((5*x)+(((2/5)/((2/-2)*((5*x)+-2)))/((5/-2)*((5*x)+-2)))))),(((-3*6)+(-5-x))-((3+-1)+(6+7)))/(((2-9)/(-2+9))/((2/5)*(-1+x)))
64,180," 00:00.180 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,9,true,1.8709338772333332E10,4,true,(((-3/3)-((x+(-6+2))*(-1*1)))*(((-3/3)+x)+6))+(((-6+2)+1)*((6-(-1+((-3/-3)/((-3/6)+((3/3)/(-3/3))))))*(-3/3))),(((-6+-6)+(7*6))*((-8+-6)-(-8/3)))*(((x+8)*(-1*1))*((-1/3)-(8*-9)))
